"track","artist"
"Wrecking Ball","Miley Cyrus"
"I Like It","Cardi B"
"Mustang Sally","Sir Mack Rice"
"Believer","Imagine Dragons"
"Nuestra Canción (feat. Vicente García)","Monsieur Periné"
"Mi Primer Día","Los Aslándticos"
"Me Rehúso","Danny Ocean"
"Titanium (feat. Sia)","David Guetta"
"Por la boca vive el pez","Fito y Fitipaldis"
"This Is The Last Time","Keane"
"Let's Twist Again","Chubby Checker"
"Your Man","Josh Turner"
"Catalina","ROSALÍA"
"Lobos","Leiva"
"Vengo Venenoso","Antonio Carmona"
"Que tinguem sort","Lluis Llach"
"Moon River","Carla Bruni"
"Contigo","Antonio José"